NAME,CEOinSent,in_train,pop_CEO
Jimmy Cayne,,True,False
Warren Buffett,,True,True
Jimmy Cayne,,True,False
Bill Gross,,True,False
Bill Gross,,True,False
Jon Sundt,,True,False
Bill Gates,,True,False
Bill Gates,,True,False
John Paulson,,True,False
Jeff Immelt,,True,False
Jeff Immelt,1,True,False
Sheldon Adelson,,True,True
Sheldon Adelson,,True,True
Sheldon Adelson,,True,True
Sheldon Adelson,,True,True
Sheldon Adelson,,True,True
Eric Hunsader,,True,False
Warren Buffett,,True,True
Anand Nallathambi,,True,False
Anand Nallathambi,1,True,False
Mark Mobius,,True,False
Mark Mobius,,True,False
David Tepper,,True,False
Bill Ackman,,True,False
Carson Block,,True,False
Jim Chanos,,True,False
Warren Buffett,,True,True
Warren Buffett,,True,True
Jeffrey Gundlach,,True,False
Jeffrey Gundlach,1,True,False
Dan Greenhaus,,True,False
Matt Kibbe,,True,False
Mario Draghi,,True,False
William Dudley,,True,False
Mohamed El-Erian,,True,False
Charles Evans,,True,False
Peter Schiff,,True,False
Bill Gross,,True,False
Jamie Dimon,,True,False
Steve Cohen,,True,False
Mark Zuckerberg,,True,True
Tony Posawatz,,True,False
Tony Posawatz,1,True,False
Tom LaSorda,,True,False
Paul Singer,,True,False
Glenn Murphy,,True,False
Glenn Murphy,1,True,False
Warren Buffett,,True,True
Warren Buffett,1,True,True
Warren Buffett,,True,True
Warren Buffett,,True,True
Richard Bernstein,,True,False
Bill Gross,,True,False
Jeff Gundlach,,True,False
Jan Hatzius,,True,False
Peter Schiff,,True,False
Mike Lynch,,True,False
Mike Lynch,1,True,False
Mike Lynch,,True,False
Mike Lynch,1,True,False
Mike Lynch,,True,False
Mike Lynch,1,True,False
William Dudley,,True,False
Mark Carney,,True,False
Louis D'Ambrosio,,True,False
Louis D'Ambrosio,1,True,False
John Goodman,,True,False
John Goodman,1,True,False
Ginny Rometty,,True,False
Ginny Rometty,1,True,False
Sam Palmisano,,True,False
Sam Palmisano,1,True,False
Skiddy von Stade,,True,False
Skiddy von Stade,1,True,False
Jim Cowles,,True,False
Jim Cowles,1,True,False
Bill Mills,,True,False
Bill Mills,1,True,False
Francisco Aristeguieta,,True,False
Francisco Aristeguieta,1,True,False
Stephen Bird,,True,False
Stephen Bird,1,True,False
Gene McQuade,,True,False
Gene McQuade,1,True,False
Brian Moynihan,,True,True
Brian Moynihan,1,True,True
John Rishton,,True,False
John Rishton,1,True,False
Jeff Gundlach,,True,False
Warren Buffett,,True,True
Louis D'Ambrosio,,True,False
Louis D'Ambrosio,1,True,False
Brian Sozzi,,True,False
Jeff Gundlach,,True,False
Klaus Kleinfeld,,True,False
Klaus Kleinfeld,1,True,False
Richard Ketchum,,True,False
Richard Ketchum,1,True,False
Hank Greenberg,,True,False
Hank Greenberg,1,True,False
Marissa Mayer,,True,False
Mark Zuckerberg,,True,True
Paul Singer,,True,False
Hank Greenberg,,True,False
Ron Johnson,,True,False
Ron Johnson,1,True,False
Bill Gross,,True,False
Hank Greenberg,,True,False
Hank Greenberg,1,True,False
Hank Greenberg,,True,False
Hank Greenberg,1,True,False
Bill Ackman,,True,False
David Tepper,,True,False
Maurice Greenberg,,True,False
Maurice Greenberg,1,True,False
Klaus Kleinfeld,,True,False
Klaus Kleinfeld,1,True,False
Mark Mobius,,True,False
Mark Mobius,,True,False
Dennis Crowley,,True,False
Dennis Crowley,1,True,False
Dennis Crowley,,True,False
Dan Loeb,,True,False
Bill Ackman,,True,False
James Gorman,,True,False
James Gorman,1,True,False
Bill Ackman,,True,False
Dan Loeb,,True,False
Warren Buffett,,True,True
Matt Rose,,True,False
Matt Rose,1,True,False
Dan Loeb,,True,False
Hank Greenberg,,True,False
Hank Greenberg,1,True,False
Hank Greenberg,,True,False
Hank Greenberg,1,True,False
Hank Greenberg,,True,False
Hank Greenberg,,True,False
Hank Greenberg,,True,False
William Dudley,,True,False
Janet Yellen,,True,False
Bill Gross,,True,False
Jamie Dimon,,True,False
Jamie Dimon,,True,False
Jamie Dimon,1,True,False
Bill Ackman,,True,False
Dan Loeb,,True,False
Bob Benmosche,,True,False
Bob Benmosche,1,True,False
Hank Greenberg,,True,False
Bill Ackman,,True,False
Dan Loeb,,True,False
James Gorman,,True,False
James Gorman,1,True,False
Meredith Whitney,,True,False
Bill Ackman,,True,False
Robert Benmosche,,True,False
Robert Benmosche,1,True,False
Jeff Gundlach,,True,False
Joe Ratterman,,True,False
Joe Ratterman,1,True,False
Frank Holmes,,True,False
Peter Schiff,,True,False
Frank Holmes,,True,False
Mario Draghi,,True,False
Dan Loeb,,True,False
Bill Ackman,,True,False
Ron Johnson,,True,False
Dan Loeb,,True,False
Dan Loeb,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Dan Loeb,,True,False
Dan Loeb,,True,False
Michael Johnson,,True,False
Michael Johnson,1,True,False
Bill Ackman,,True,False
Dave DeWalt,,True,False
Dan Greenhaus,,True,False
Steve Jobs,,True,False
Mario Draghi,,True,False
Mario Draghi,,True,False
Mario Draghi,,True,False
Bill Ackman,,True,False
Michael Bloomberg,,True,False
Bill Ackman,,True,False
Dan Loeb,,True,False
Mark Carney,,True,False
Warren Buffett,,True,True
Mario Draghi,,True,False
Mario Draghi,,True,False
Mario Draghi,,True,False
Mohamed El-Erian,,True,False
Dwaine van Vuuren,,True,False
Dwaine van Vuuren,1,True,False
Dwaine van Vuuren,,True,False
Dwaine van Vuuren,,True,False
Dwaine van Vuuren,1,True,False
Dwaine van Vuuren,,True,False
Mario Draghi,,True,False
Mohamed El-Erian,,True,False
Mohamed El-Erian,1,True,False
Brian Sozzi,,True,False
Steve Cohen,,True,False
Steve Cohen,,True,False
Steve Cohen,,True,False
Eddie Lampert,,True,False
Eddie Lampert,1,True,False
Jack Dorsey,,True,True
Indra Nooyi,,True,False
Jeff Gundlach,,True,False
Jamie Dimons,,True,False
Jamie Dimons,1,True,False
Jan Hatzius,,True,False
Jan Hatzius,,True,False
Jeff Gundlach,,True,False
Mario Draghi,,True,False
Jan Hatzius,,True,False
Ben Nelson,,True,False
Ben Nelson,1,True,False
Ben Nelson,,True,False
Ben Nelson,1,True,False
Michael Dell,,True,True
Mario Draghi,,True,False
Kaz Hirai,,True,False
Kaz Hirai,1,True,False
Tim Armstrong,,True,True
Tim Armstrong,1,True,True
Ron Johnson,,True,False
Ron Johnson,1,True,False
James Gorman,,True,False
James Gorman,1,True,False
Jamie Dimon,,True,False
Jamie Dimon,1,True,False
Brian Moynihan,,True,True
Brian Moynihan,1,True,True
Warren Buffett,,True,True
Meredith Whitney,,True,False
Jamie Dimon,,True,False
Jamie Dimon,1,True,False
Bill Ackman,,True,False
Daniel Loeb,,True,False
Meredith Whitney,,True,False
Mario Draghi,,True,False
Warren Buffett,,True,True
Warren Buffet,,True,False
Michael Dell,,True,True
Jamie Dimon,,True,False
Jamie Dimon,1,True,False
Jamie Dimon,,True,False
Jamie Dimon,1,True,False
James Gorman,,True,False
James Gorman,1,True,False
Dan Loeb,,True,False
Bill Simon,,True,False
Bill Simon,1,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Dan Loeb,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Bill Ackman,,True,False
Klaus Kleinfeld,,True,False
