NAME,CEOinSent,in_train,pop_CEO
Warren Buffett,,True,True
Bill Gates,,True,False
Brian Sozzi,,True,False
Bill Gates,,True,False
Bill Gross,,True,False
Bill Gross,,True,False
Tim Cook,,True,True
Mark Zuckerberg,,True,True
Mark Zuckerberg,1,True,True
Marissa Mayer,,True,False
Marissa Mayer,1,True,False
Michael Bloomberg,,True,False
Michael Bloomberg,,True,False
Dennis Kozlowski,,True,False
William Conway,,True,False
William Conway,1,True,False
Janet Yellen,,True,False
Janet Yellen,,True,False
Janet Yellen,,True,False
Janet Yellen,,True,False
Mark Mobius,,True,False
Mark Mobius,,True,False
Mark Mobius,,True,False
Elon Musk,,True,True
Mike West,,True,False
Mike West,1,True,False
Mike West,,True,False
Mike West,,True,False
Jon Sundt,,True,False
Bill Gross,,True,False
Janet Yellen,,True,False
Josh Brown,,True,False
Mike Lynch,,True,False
Jeff Bezos,,True,True
Sheldon Adelson,,True,True
Sheldon Adelson,1,True,True
Dennis Kozlowski,,True,False
Dennis Kozlowski,1,True,False
Dennis Kozlowski,,True,False
Dennis Kozlowski,1,True,False
Dennis Kozlowski,,True,False
Dennis Kozlowski,,True,False
Dennis Kozlowski,,True,False
Dennis Kozlowski,,True,False
Dennis Kozlowski,,True,False
Dennis Kozlowski,,True,False
Dennis Kozlowski,,True,False
Mike Nudelman,,True,False
Steve Cohen,,True,False
Jamie Dimon,,True,False
Jamie Dimon,1,True,False
David Einhorn,,True,False
Bill Ackman,,True,False
Mario Draghi,,True,False
Anthony Scaramucci,,True,False
Anthony Scaramucci,1,True,False
Adam Zoia,,True,False
Adam Zoia,1,True,False
Leigh Drogen,,True,False
Janet Yellen,,True,False
Bill Ackman,,True,False
Janet Yellen,,True,False
Janet Yellen,,True,False
Brian Sozzi,,True,False
Warren Buffett,,True,True
Elon Musk,,True,True
David Einhorn,,True,False
Marissa Mayer,,True,False
Carlos Rodriguez,,True,False
Carlos Rodriguez,1,True,False
Stephen Elop,,True,False
Stephen Elop,1,True,False
Marissa Mayer,,True,False
Marissa Mayer,1,True,False
Larry Robbins,,True,False
Larry Robbins,1,True,False
Marissa Mayer,,True,False
Marissa Mayer,1,True,False
Alan Mulally,,True,False
Alan Mulally,1,True,False
Steve Ballmer,,True,False
Steve Ballmer,1,True,False
Stephen Elop,,True,False
Stephen Elop,1,True,False
Bobby Lee,,True,False
Bobby Lee,1,True,False
Bill Gross,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
Brian Sozzi,,True,False
