Company,forbes,numWords,in_train
Union Square Ventures,False,3,True
Facebook,True,1,True
Facebook,True,1,True
Facebook,True,1,True
Morgan Stanley,True,2,True
Morgan Stanley,True,2,True
Facebook,True,1,True
Facebook,True,1,True
Facebook,True,1,True
Facebook,True,1,True
Apple,True,1,True
Business Insider,False,2,True
Nasdaq,False,1,True
Frontline,False,1,True
PIMCO,False,1,True
Research Affiliates,False,2,True
Altegris,False,1,True
Nicola Wealth Management,False,3,True
Goldman,False,1,True
Goldman,False,1,True
Bloomberg,False,1,True
Morgan Stanley,True,2,True
Bloomberg,False,1,True
Bloomberg,False,1,True
Blackstone,False,1,True
NBC,False,1,True
Microsoft,True,1,True
Bloomberg,False,1,True
Microsoft,True,1,True
Microsoft,True,1,True
Microsoft,True,1,True
Microsoft,True,1,True
SEC,False,1,True
Coca-Cola,True,1,True
Auto Nation,False,2,True
ACA Financial,False,2,True
Goldman Sachs,False,2,True
Bloomberg,False,1,True
Goldman,False,1,True
SEC,False,1,True
SEC,False,1,True
Goldman,False,1,True
Goldman,False,1,True
Reuters,False,1,True
Goldman Sachs,False,2,True
Goldman,False,1,True
Morgan Stanley,True,2,True
Blackstone,False,1,True
Bloomberg,False,1,True
GE,False,1,True
GM,False,1,True
Audi,False,1,True
BMW,False,1,True
Mercedes-Benz,False,1,True
Napster,False,1,True
Nanex,False,1,True
Nanex,False,1,True
Nanex,False,1,True
Business Insider,False,2,True
Nanex,False,1,True
NYSE,False,1,True
Nanex,False,1,True
Business Insider,False,2,True
Business Insider,False,2,True
Morgan Stanley,True,2,True
Vanguard,False,1,True
SEC,False,1,True
CoreLogic,False,1,True
CoreLogic,False,1,True
Templeton Emerging Markets Group,False,4,True
Deutsche Bank,True,2,True
JPMorgan,False,1,True
Bloomberg,False,1,True
Commodity Weather Group LLC,False,4,True
Muddy Waters Research,False,3,True
SEC,False,1,True
Eurasia Group,False,2,True
Bloomberg,False,1,True
Bloomberg,False,1,True
King,False,1,True
Bloomberg,False,1,True
Blackrock,False,1,True
Bloomberg,False,1,True
The Gartman Letter,False,3,True
BMW,False,1,True
Mercedes-Benz,False,1,True
Bloomberg,False,1,True
Torino Capital,False,2,True
ABC,False,1,True
WSJ,False,1,True
HSBC,False,1,True
Apple,True,1,True
Apple,True,1,True
Microsoft,True,1,True
Apple,True,1,True
NASDAQ,True,1,True
Business Insider,False,2,True
Ford,False,1,True
Bloomberg,False,1,True
Bloomberg,False,1,True
Bloomberg,False,1,True
Bank of America,True,3,True
Eurasia Group,False,2,True
Bloomberg,False,1,True
WSJ,False,1,True
SocGen,False,1,True
MGM,False,1,True
Avis Budget Group,True,3,True
Avis Budget Group,True,3,True
Avis Budget Group,True,3,True
Zipcar,False,1,True
Avis Budget Group,True,3,True
Avis Budget Group,True,3,True
Avis Budget Group,True,3,True
Citigroup,True,1,True
Avis Budget Group,True,3,True
Morgan Stanley,True,2,True
Avis Budget Group,True,3,True
BBC,False,1,True
Apple,True,1,True
CNBC,False,1,True
