CEO
Warren Buffett
Jeff Immelt
Sheldon Adelson
Anand Nallathambi
Jorge Piedrahitatold Bloomberg
Jeffrey Gundlach
Ronald L. Nelson
Scott Griffith
Kenneth Chenault
Thomas Joyce
Mark Zuckerberg
Tony Posawatz
Glenn Murphy
Berkshire Hathaway
Lloyd C. Blankfein
Michael Shaoul
Robert Enrico
Berkshire Hathaway's
Mike Lynch
Louis D'Ambrosio
Edward S. Lampert
Wet Seal
John Goodman
John D. Goodman
Spencer Ante
Ginny Rometty
Sam Palmisano
Skiddy von Stade
Bill Ackman's
Bloomberg Bloomberg Bloomberg Bloomberg
Getty Images
Jim Cowles
Bill Mills
Francisco Aristeguieta
Stephen Bird
Gene McQuade
Brian Moynihan
John Rishton
Klaus Kleinfeld
Richard Ketchum
Hank Greenberg
Cornelius Vander Starr
Ron Johnson
Eliot Spitzer
Maurice Greenberg
Dennis Crowley
James Gorman
Matt Rose
Jamie Dimon
London Whale'
"Hank"" Greenberg"
Bob Benmosche
Robert Benmosche
Kenneth I. Chenault
Joe Ratterman
Kirk Sorensen
William A. Ackman
Michael Johnson
Kate Kelly
CNBCDaniel S. Loeb
Sanford Sandy Weill
Brian T. Moynihan
Su Jingshi
Dwaine van Vuuren
Georg Vrba
Franz Lischka
Mohamed El-Erian
Best BuyCEOHubert Joly
Eddie Lampert
Jack Dorsey
Jamie Dimons
David Gregory
Wayne LaPierre's
Ben NelsonThere
Ben Nelson
Michael Dell
Kaz Hirai
Tim Armstrong
Bill Simon
Lewis Ranieri
John Gutfreund
Chaly Mah
Jim McNerney
Eric Hunsader
Peter Lee
Technical AnalystPeter Lee
Steve Ballmer
Elon Musk
Richard Branson
Nick von Schirnding
Bruce Marks
Paul Otellini
Philippe Chevalier
Emile Garcin
Michael Corbat
Tom Albanese
Marius Kloppers
Anglo American
Cynthia Carroll
Bill McBride's
Erik Schatzker
Lloyd Blankfein
Christine Harper
Steve Schwarzman
Pete Flint
Michael Jenkins
Peter Schiff
Ginni Rometty
Kenneth Lewis
John Mack
Steve Cohen
Mathew Martoma
Doug Oberhelman
Tim Leuliette
Alex Gorsky
Jerry Moyes
Jeff Gundlach
Piper Jaffray
Gene Munster
Tim Cook
Tom Keene
Rio Tinto
Carl Icahn
Ron Johnson's
Howard Schultz
Bill Gross
Ex-Xinhua Finance
Bush Signs Plea Deal
Bernie Grimm
Sean Parker
Mark Benioff
Ian Osborne
R. Neal Black
Meg Whitman
Mark Hurd
Harvard Steve
Jeff Bezos
Marissa Mayer
Marcus Agius
Bob Diamond
Antony Jenkins’
Tim Breedon
Marissa Meyer
John Mack Jr.'s
Pamela Flaherty
Bill Gajda Head
Aubrey K. McClendon
Steven C. Dixon
Operating Officer
"Domenic J. Dell’Osso, Jr."
Financial Officer
Stephen Lovekin/
Bill Ackman
Lisa Du
Richard Handler
Robert Johnson
Alan Mulally
Minas Rio
Mark Cutifani
Richard Fuld
CFO Greg Smith
Aubrey McClendon
Jamie Dimon's
Steve Wynn
Nouriel Roubini
David Nagle
Mike Jeffries
Andrew Feldstein
Mick McGuire
Howard Shainker
Mona Sutphen
andDavid Weinreb
Scott Davis
Juergen Fitschen
Josef Ackermann
Jürgen Fitschen
DAVID NOVAK
David C. Novak
Larry Fink
David Tepper
David Rubenstein
Steve Judge
Steve Ells
Monty Moran
Dells Founder
Henry Blodget
Carol Evans
Thorsten Heins
Alessandro Profumo
Monte dei Paschi
Fabrizio Viola
Vikram Pandit
Richard Bernstein
Richard Bernstein Advisors
Mark Mobius
Jesse Marrus
Ben Verwaayen
Mark DeCambre
Don Thompson
Leung Chun-ying
Jack McCabe
John Catsimatidis
James S. Tisch
John Ulzheimer
Rick Alden
Eric Schmidt
Brian L. Roberts
David Einhorn
Kellan Elliott-McCrea
Etsy CTOWoman
Jay Yarow
Tim Cook's
Patti Hart
Phil Satre
Chuck Mathewson
Doug Parker
Tom Horton
Larry Ellison
Dave Segal
Jim Smith
Howard Hughes
David Weinreb
Alexander Justham
Michael Acton Smith
Gerald Storch
Gerald L. Storch
Phil Denton
John Broder
Elon Musk's
Christina Ra
Ted Merendino
Daniel Tarullo
Sally Smith
Catherine Brown
Heinz Chairman
William R. Johnson
John Chambers
Hilary Sargent
Chart Girl
Jean-Baptiste Rudelle
Antony Jenkins
Carlos Ghosn
James Mwangi
Kevin DeSanctis
Michael O. Johnson
R. Seetharaman
Steven Dean
Alan Gorman
Frank Holmes
Thomas Kingston
James Spencer Matthews
Neil Austrian
Alfa Romeo
Sergio Marchionne
